DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
,,,,,nom_prfl_cola_cogl__c
,,85R4X000000L0AIUA0,Ativacao_aniversario_cliente,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CADA__dlm,dat_aniv_clie__c
,,,,,dat_rfrc__c
,,,,,des_prmo_nom_clie__c
,,85R4X000000L0e8UAC,MD_IAIUIP_CA0012828_FACE,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000L0eDUAS,MD_IAIUIP_CA0012828_GOOGLE_IOS,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L0eIUAS,MD_IAIUIP_CA0012828_GOOGLE_AD,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L0HJUA0,SF34741,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L0mlUAC,OPTOUT_PCM,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L0RsUAK,SF46235,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L0ukUAC,MD_IAIU_CA0017022_AND_FACE_GOO,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000L0v4UAC,PF | CGI IP | EMAIL E SMS | CARRINHO ABANDONADO | GE,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L0VGUA0,SF18660,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L0VpUAK,SF46033,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L0xeUAC,PJ | DIAGRAMA ELEGIBILIDADE BÁSICA E-MAIL E SMS,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L0yNUAS,PCM_PF_CA-0015314_SF49985,Melhor_Conversa_Horizontal__dlm,cod_pltc_melh_cvsa__c
,,,,,nom_prod_melh_cvsa_1__c
,,,,,nom_prod_melh_cvsa_2__c
,,,,,nom_prod_melh_cvsa_3__c
,,,,,nom_prod_melh_cvsa_4__c
,,,,,nom_prod_melh_cvsa_5__c
,,,,Priorizao_IP_Conta_Corrente__cio,CodProduto__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,C_digo_Plataforma_Empresa_Segmento__c
,,,,,Cdigo_Gerente_Plataforma__c
,,,,,cod_agen_banc__c
,,,,,cod_sgto_cont_core_clie__c
,,,,,id__c
,,,,,int_cont_core__c
,,,,,Nmero_Digito_Auto_Conferncia__c
,,,,tbhf9me_info_cadl_gert_cont_pcm__dlm,cod_ddd_tel_unid_estr__c
,,,,,nom_emai_coro_cola__c
,,,,,nom_func__c
,,,,,num_funl_gert__c
